"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"błędny";0;0;0;0;1;0;0;0;0
"błękitnobrody";0;1;0;0;0;0;0;0;0
"błękitny";1;0;0;0;0;0;0;0;0
"błogosławieństwo";0;0;1;0;0;0;0;0;0
"błysk";1;0;0;0;0;0;0;0;1
"błyskawica";0;0;0;0;0;0;0;0;3
"błyskotka";1;0;0;0;0;0;0;0;0
"błysnąć";0;0;0;0;0;0;0;1;1
"błyszczeć";0;0;0;0;0;0;0;0;1
"bobek";0;0;0;0;0;1;0;0;0
"bochenek";1;0;0;0;0;0;0;0;0
"boczny";0;0;0;0;0;0;0;0;1
"bodaj";0;0;0;0;0;0;1;0;0
"boffinowie";0;0;0;0;0;0;0;1;0
"bofora";0;1;0;0;0;0;0;0;0
"bogactwo";3;0;0;0;0;0;0;2;0
"bogacz";1;0;0;0;0;0;0;1;0
"bogate";0;0;1;0;0;0;0;0;0
"bogaty";1;0;0;0;1;0;0;2;0
"bohater";0;2;0;0;0;0;1;0;0
"boisko";0;0;0;0;0;3;0;0;0
"boj";0;0;0;0;0;0;0;0;2
"boją";0;0;0;0;0;0;0;0;1
"bojowiec";0;0;0;2;0;0;0;0;0
"bojowy";0;0;0;7;0;0;0;0;1
"bok";0;1;0;0;0;0;1;0;0
"boks";0;0;0;0;0;1;0;0;0
"bolesław";0;0;1;3;0;0;0;0;0
"bolonii";0;0;0;0;5;0;0;0;0
"boloński";0;0;0;0;1;0;0;0;0
"bolszewicki";0;0;0;1;0;0;0;0;0
"bombur";3;0;0;0;0;0;0;0;0
"bombura";2;1;0;0;0;0;0;0;0
"bona";0;0;0;1;0;0;0;0;0
"borek";0;0;1;0;0;0;0;0;0
"borsuk";0;0;0;0;0;0;0;0;1
"borussia";0;0;0;0;0;3;0;0;0
"borussią";0;0;0;0;0;4;0;0;0
"borussię";0;0;0;0;0;1;0;0;0
"borussii";0;0;0;0;0;10;0;0;0
"borykać";0;0;0;1;0;0;0;0;0
"botaniczny";0;0;0;0;1;0;0;0;0
"boży";0;0;4;0;0;0;0;0;0
"bóg";0;0;3;0;0;0;0;0;0
"bracia";0;0;0;2;0;0;0;0;0
"brać";1;0;0;2;3;0;4;1;2
"brak";0;1;0;0;1;1;0;0;0
"brakować";0;0;0;0;0;0;1;0;0
"brakowało";1;0;0;0;0;0;0;0;0
"bram";1;0;0;0;0;0;0;0;0
"brama";11;0;1;0;0;0;0;2;14
"bramka";0;0;0;0;0;31;0;0;0
"bramkarz";0;0;0;0;0;1;0;0;0
"bramkowy";0;0;0;0;0;2;0;0;0
