"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"beznamiętny";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bezpieczniejszy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"bezpieczny";0;0;0;0;1;0;0;0;0;0;0;1;1;2;2;3
"bezpośredni";0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
"bezrok";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezruch";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bezskuteczny";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bezwiedny";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"będąc";0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
"będącej";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"będących";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"będę";0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"będziecie";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"będziemy";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"będziesz";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"biada";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"biadolić";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biale";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bialego";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bialej";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bialowlosym";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"biała";1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"białawy";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"białe";0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
"białnością";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"białobrzuszne";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"białoczerwonym";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"białość";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"białowłosy";0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
"biały";1;2;0;0;0;1;0;0;0;0;1;2;0;0;1;3
"biblia";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"biblioteka";0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0
"bibliotheca";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bić";2;3;0;6;0;0;0;0;0;0;0;0;0;2;0;2
"biec";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"bieda";0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0
"biedak";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"biedaka";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
